Smiles;Frequency;Percentage;MoleculeFrequency;MoleculePercentage
ccc(c1ccccc1)C;2;0.000;2;0.00
CCCCCCCCCCCCCCCCCC;2;0.000;2;0.00
CC1CCCCC2(C)CCCC12C;1;0.000;1;0.00
CCCCCCCCCCC(C)C;1;0.000;1;0.00
CC1CCCC(C)(C)C1C;2;0.000;2;0.00
c1cc(cc(c1)C)cC;1;0.000;1;0.00
*N(*)C(=O)N(*)*;13;0.001;13;0.01
c1ccc2c(c1)CCCC2(C)CC;1;0.000;1;0.00
*OC(=O)C=CC=C;6;0.000;5;0.00
c1ccc(cc1)CCCC(C)(C)C;1;0.000;1;0.00
CCCC1(C)CCCCC1;3;0.000;3;0.00
[H]OCOC=C;1;0.000;1;0.00
*N=CC=C;1;0.000;1;0.00
[H]OC=C;2;0.000;2;0.00
CC(C)C1CCC2(C)CCCCC2C1;1;0.000;1;0.00
c1ccc(cc1)CCc2ccccc2;2;0.000;2;0.00
